dec_long_va	dec_lat_va	GW_Level_NAVD	Well_ID	WellDepth_BLS	WellDepth_NAVD	GWL_Shallow	GWL_Middle	GWL_Deep
-95.4544444	29.5911111	-44.6898	293527095271501.0	320.0	-301.3	-34.1	-44.6	-55.1
-95.4738889	30.15638889	-78.26505	300923095282601.0	320.0	-276.3	-69.4	-79.9	-90.4
-95.4772222	29.6261111	-50.5511	293734095283801.0	320.0	-302.1	-39.9	-50.4	-60.9
-95.8580556	29.75305556	-62.3514	294511095512901.0	320.0	-276.2	-53.5	-64.0	-74.5
-95.145	29.91388889	-34.072050000000004	295449095084104.0	319.4	-303.0	-23.4	-33.9	-44.4
-95.2427778	30.0661111	-26.4673	300258095145301.0	318.8	-293.3	-16.4	-26.9	-37.4
-95.1886111	30.05388889	-30.83355	300302095113301.0	318.2	-300.2	-20.3	-30.8	-41.3
-95.5105556	29.6261111	-45.3756	293734095303801.0	317.0	-296.1	-35.1	-45.6	-56.1
-95.5883333	29.6672222	-46.67705	294002095351001.0	316.4	-291.5	-36.8	-47.3	-57.8
-95.3338889	29.79138889	-43.2145	294728095200104.0	315.5	-301.4	-32.6	-43.1	-53.6
-95.0955556	30.05916667	-17.7485	300332095054301.0	314.6	-292.9	-7.7	-18.2	-28.7
-95.4461111	30.02333333	-44.80865	300123095264501.0	313.9	-280.0	-35.7	-46.2	-56.7
-95.5019444	30.17527778	-73.40344999999999	301033095300602.0	313.9	-264.0	-65.4	-75.9	-86.4
-95.5730556	29.6597222	-44.8879	293934095342201.0	313.9	-290.4	-35.1	-45.6	-56.1
-95.4541667	30.1561111	-78.6811	300920095271402.0	312.4	-269.2	-70.3	-80.8	-91.3
-95.49325	29.62241667	-46.24275	293720095293501.0	312.4	-293.8	-36.2	-46.7	-57.2
-95.6341667	29.62194444	-31.8272	293720095381101.0	312.4	-289.6	-22.1	-32.6	-43.1
-95.8218611	29.82123056	-52.581	294916095491901.0	312.4	-265.8	-44.5	-55.0	-65.5
-95.8047222	29.7625	-37.2298	294548095481401.0	311.5	-272.2	-28.7	-39.2	-49.7
-95.5566667	29.96277778	-54.2361	295723095340201.0	310.9	-273.6	-45.6	-56.1	-66.6
-95.0066667	30.07083333	-1.8197	300413095002201.0	310.0	-284.2	7.6	-2.9	-13.4
-95.0966667	30.05666667	-18.8168	300321095060201.0	309.1	-287.5	-9.2	-19.7	-30.2
-95.4419444	30.16583333	-76.41640000000001	300956095263001.0	309.1	-267.5	-68.2	-78.7	-89.2
-95.5838889	29.66638889	-44.3179	294010095350501.0	308.5	-283.7	-35.0	-45.5	-56.0
-95.115	30.02694444	-24.3322	300133095065101.0	307.8	-287.1	-14.7	-25.2	-35.7
-95.4461111	30.1572222	-81.4502	300925095264501.0	307.8	-268.3	-73.2	-83.7	-94.2
-95.2419444	29.7725	-43.59555	294619095142701.0	306.9	-298.0	-33.2	-43.7	-54.2
-95.8858333	29.97555556	33.5859	295831095530801.0	306.9	-240.1	39.9	29.4	18.9
-95.0088889	30.11194444	3.8649	300641095003101.0	306.6	-281.7	13.1	2.6	-7.9
-95.4922222	30.1847222	-66.5378	301108095293201.0	306.3	-258.6	-58.9	-69.4	-79.9
-95.5758333	30.23277778	-54.30775	301358095343302.0	306.0	-241.1	-47.9	-58.4	-68.9
-95.9413889	29.88805556	23.25315	295316095562801.0	305.4	-247.2	30.1	19.6	9.1
-95.4513889	30.21583333	-63.9714	301256095270401.0	304.8	-266.1	-55.8	-66.3	-76.8
-95.4675	30.08555556	-48.47385	300507095280201.0	304.8	-263.2	-40.5	-51.0	-61.5
-95.4772222	30.17638889	-73.61075	301034095283802.0	304.8	-263.7	-65.7	-76.2	-86.7
